hospitalid,n_rows,n_unique_patients,n_train,n_dev,n_test,n_regular_hours,n_off_hours,train_z_varies,eligible,exclusion_reasons
352,10,10,7,2,1,5,5,True,True,
353,12,9,8,2,2,5,7,True,True,
355,10,10,7,1,2,7,3,True,True,
356,11,10,8,1,2,6,5,True,True,
357,11,10,8,2,1,4,7,True,True,
358,10,10,7,2,1,4,6,True,True,
360,11,10,8,2,1,8,3,True,True,
363,11,10,8,1,2,6,5,True,True,
364,12,10,8,2,2,4,8,True,True,
365,10,9,7,1,2,4,6,True,True,
381,10,10,7,2,1,5,5,True,True,
382,13,9,9,2,2,7,6,True,True,
383,10,10,7,2,1,6,4,True,True,
384,10,10,7,1,2,6,4,True,True,
386,10,10,7,2,1,4,6,True,True,
387,10,10,7,1,2,5,5,True,True,
388,10,9,7,1,2,4,6,True,True,
389,16,10,11,3,2,7,9,True,True,
390,11,10,8,1,2,5,6,True,True,
391,10,9,7,2,1,7,3,True,True,
392,12,10,8,2,2,7,5,True,True,
393,11,9,8,1,2,6,5,True,True,
394,10,10,7,1,2,5,5,True,True,
396,13,9,9,2,2,3,10,True,True,
397,9,9,6,1,2,5,4,True,True,
398,14,10,10,2,2,6,8,True,True,
399,11,9,8,1,2,3,8,True,True,
400,10,9,7,1,2,5,5,True,True,
402,11,9,8,1,2,6,5,True,True,
403,10,10,7,2,1,7,3,True,True,
404,13,9,8,3,2,4,9,True,True,
405,14,10,10,2,2,6,8,True,True,
407,12,10,8,2,2,5,7,True,True,
408,10,10,7,2,1,6,4,True,True,
411,10,9,7,1,2,4,6,True,True,
412,10,10,7,2,1,8,2,True,True,
413,9,9,6,2,1,4,5,True,True,
416,10,10,7,2,1,7,3,True,True,
417,11,10,8,2,1,8,3,True,True,
419,10,10,7,1,2,3,7,True,True,
420,10,9,7,2,1,6,4,True,True,
421,12,10,8,2,2,6,6,True,True,
422,13,10,9,2,2,3,10,True,True,
423,11,10,8,1,2,4,7,True,True,
424,10,9,7,1,2,3,7,True,True,
425,14,10,9,2,3,4,10,True,True,
428,11,10,8,2,1,6,5,True,True,
429,14,9,9,2,3,7,7,True,True,
433,13,10,9,2,2,7,6,True,True,
434,12,10,8,2,2,6,6,True,True,
435,12,10,8,2,2,6,6,True,True,
436,11,10,8,1,2,5,6,True,True,
437,11,10,8,1,2,5,6,True,True,
438,10,9,7,1,2,7,3,True,True,
439,11,10,8,2,1,3,8,True,True,
440,13,10,9,2,2,9,4,True,True,
443,13,10,9,2,2,6,7,True,True,
444,14,10,10,2,2,7,7,True,True,
445,11,10,8,2,1,6,5,True,True,
449,10,10,7,2,1,8,2,True,True,
452,10,10,7,1,2,5,5,True,True,
458,13,10,9,2,2,5,8,True,True,
459,12,10,8,2,2,5,7,True,True,
