target_id,track,source_version,source_location,dataset_family,dataset,input_mode,scenario,true_function,algorithm_id,algorithm_family,training_scope,stochasticity,paper_method_label,paper_mapping_status,paper_target_available,target_status,target_mean_test_mse,target_std_test_mse,paper_reported_value,target_metric,target_num_runs,seed_values,curve_required,aggregate_test_mse_required,train_size,validation_size,test_size,model_architecture,partition_method,partition_alpha,paper_batch_size,paper_batch_size_status,y_standardization,learning_rate_tuning,checkpoint_selection_method,communication_rounds,total_clients,clients_per_round,local_epochs,server_learning_rate,weight_decay,gradient_clipping,paper_protocol_match_required,comparison_reference,tuning_rule,fairness_rule,test_tuning_allowed,our_result_status,our_completed_seeds,our_result_dir_pattern,our_mean_test_mse,our_std_test_mse,absolute_mean_gap,relative_mean_gap_pct,protocol_match_status,notes
extension_eicu_study_a_interaction_sgda_s_not_applicable_centralized,extension,eicu_study_a_v1,experiments/eicu_study_a_protocol/protocol_v1.md,eicu_semisynthetic,eicu,structured_tabular,eicu_study_a_interaction,"known interaction g0(D,W)",sgda_s,sgda,centralized,stochastic,DeepGMM-SGDA,method_mapping_only_scenario_not_in_paper,false,new_experiment_no_paper_target,,,,equal_client_test_mse_at_best_validation,5,scenario:101|102|103|104|105;optimizer:1101|1102|1103|1104|1105,true,true,full_eicu_audit_pending,full_eicu_audit_pending,full_eicu_audit_pending,not_frozen_pending_preflight,natural_hospital,,,not_applicable_extension,not_frozen_pending_preflight,validation_only_staged_grid,lowest_equal_client_validation_structural_mse,not_frozen_pending_preflight,full_eicu_audit_pending,not_applicable_centralized,not_applicable_centralized,not_applicable_centralized,validation_tuned,validation_tuned,false,,validation_only,"matched scenario artifacts, seed pairs, architecture family, training budget, and comparable tuning budget",false,not_started,,,,,,,not_applicable_extension,Study A v1 proposal; role=centralized_baseline; aggregation_mode=not_applicable_centralized; objective_mode=paper_aligned; full eICU required; demo smoke-only; primary metric is equal-client; no published numerical target.
extension_eicu_study_a_interaction_oadam_s_not_applicable_centralized,extension,eicu_study_a_v1,experiments/eicu_study_a_protocol/protocol_v1.md,eicu_semisynthetic,eicu,structured_tabular,eicu_study_a_interaction,"known interaction g0(D,W)",oadam_s,oadam,centralized,stochastic,DeepGMM-OAdam,method_mapping_only_scenario_not_in_paper,false,new_experiment_no_paper_target,,,,equal_client_test_mse_at_best_validation,5,scenario:101|102|103|104|105;optimizer:1101|1102|1103|1104|1105,true,true,full_eicu_audit_pending,full_eicu_audit_pending,full_eicu_audit_pending,not_frozen_pending_preflight,natural_hospital,,,not_applicable_extension,not_frozen_pending_preflight,validation_only_staged_grid,lowest_equal_client_validation_structural_mse,not_frozen_pending_preflight,full_eicu_audit_pending,not_applicable_centralized,not_applicable_centralized,not_applicable_centralized,validation_tuned,validation_tuned,false,,validation_only,"matched scenario artifacts, seed pairs, architecture family, training budget, and comparable tuning budget",false,not_started,,,,,,,not_applicable_extension,Study A v1 proposal; role=centralized_baseline; aggregation_mode=not_applicable_centralized; objective_mode=paper_aligned; full eICU required; demo smoke-only; primary metric is equal-client; no published numerical target.
extension_eicu_study_a_frozen_random_mlp_gda_d_not_applicable_centralized,extension,eicu_study_a_v1,experiments/eicu_study_a_protocol/protocol_v1.md,eicu_semisynthetic,eicu,structured_tabular,eicu_study_a_frozen_random_mlp,"known frozen-random-MLP g0(D,W)",gda_d,gda,centralized,deterministic,DeepGMM-GDA,method_mapping_only_scenario_not_in_paper,false,new_experiment_no_paper_target,,,,equal_client_test_mse_at_best_validation,5,scenario:101|102|103|104|105;optimizer:1101|1102|1103|1104|1105,true,true,full_eicu_audit_pending,full_eicu_audit_pending,full_eicu_audit_pending,not_frozen_pending_preflight,natural_hospital,,,not_applicable_extension,not_frozen_pending_preflight,validation_only_staged_grid,lowest_equal_client_validation_structural_mse,not_frozen_pending_preflight,full_eicu_audit_pending,not_applicable_centralized,not_applicable_centralized,not_applicable_centralized,validation_tuned,validation_tuned,false,,validation_only,"matched scenario artifacts, seed pairs, architecture family, training budget, and comparable tuning budget",false,not_started,,,,,,,not_applicable_extension,Study A v1 proposal; role=centralized_baseline; aggregation_mode=not_applicable_centralized; objective_mode=paper_aligned; full eICU required; demo smoke-only; primary metric is equal-client; no published numerical target.
extension_eicu_study_a_frozen_random_mlp_sgda_s_not_applicable_centralized,extension,eicu_study_a_v1,experiments/eicu_study_a_protocol/protocol_v1.md,eicu_semisynthetic,eicu,structured_tabular,eicu_study_a_frozen_random_mlp,"known frozen-random-MLP g0(D,W)",sgda_s,sgda,centralized,stochastic,DeepGMM-SGDA,method_mapping_only_scenario_not_in_paper,false,new_experiment_no_paper_target,,,,equal_client_test_mse_at_best_validation,5,scenario:101|102|103|104|105;optimizer:1101|1102|1103|1104|1105,true,true,full_eicu_audit_pending,full_eicu_audit_pending,full_eicu_audit_pending,not_frozen_pending_preflight,natural_hospital,,,not_applicable_extension,not_frozen_pending_preflight,validation_only_staged_grid,lowest_equal_client_validation_structural_mse,not_frozen_pending_preflight,full_eicu_audit_pending,not_applicable_centralized,not_applicable_centralized,not_applicable_centralized,validation_tuned,validation_tuned,false,,validation_only,"matched scenario artifacts, seed pairs, architecture family, training budget, and comparable tuning budget",false,not_started,,,,,,,not_applicable_extension,Study A v1 proposal; role=centralized_baseline; aggregation_mode=not_applicable_centralized; objective_mode=paper_aligned; full eICU required; demo smoke-only; primary metric is equal-client; no published numerical target.
extension_eicu_study_a_frozen_random_mlp_oadam_s_not_applicable_centralized,extension,eicu_study_a_v1,experiments/eicu_study_a_protocol/protocol_v1.md,eicu_semisynthetic,eicu,structured_tabular,eicu_study_a_frozen_random_mlp,"known frozen-random-MLP g0(D,W)",oadam_s,oadam,centralized,stochastic,DeepGMM-OAdam,method_mapping_only_scenario_not_in_paper,false,new_experiment_no_paper_target,,,,equal_client_test_mse_at_best_validation,5,scenario:101|102|103|104|105;optimizer:1101|1102|1103|1104|1105,true,true,full_eicu_audit_pending,full_eicu_audit_pending,full_eicu_audit_pending,not_frozen_pending_preflight,natural_hospital,,,not_applicable_extension,not_frozen_pending_preflight,validation_only_staged_grid,lowest_equal_client_validation_structural_mse,not_frozen_pending_preflight,full_eicu_audit_pending,not_applicable_centralized,not_applicable_centralized,not_applicable_centralized,validation_tuned,validation_tuned,false,,validation_only,"matched scenario artifacts, seed pairs, architecture family, training budget, and comparable tuning budget",false,not_started,,,,,,,not_applicable_extension,Study A v1 proposal; role=centralized_baseline; aggregation_mode=not_applicable_centralized; objective_mode=paper_aligned; full eICU required; demo smoke-only; primary metric is equal-client; no published numerical target.
extension_eicu_study_a_linear_fedgda_s_sample_size,extension,eicu_study_a_v1,experiments/eicu_study_a_protocol/protocol_v1.md,eicu_semisynthetic,eicu,structured_tabular,eicu_study_a_linear,"known linear g0(D,W)",fedgda_s,fedgda,federated,stochastic,FDeepGMM-SGDA,method_mapping_only_scenario_not_in_paper,false,new_experiment_no_paper_target,,,,equal_client_test_mse_at_best_validation,5,scenario:101|102|103|104|105;optimizer:1101|1102|1103|1104|1105,true,true,full_eicu_audit_pending,full_eicu_audit_pending,full_eicu_audit_pending,not_frozen_pending_preflight,natural_hospital,,,not_applicable_extension,not_frozen_pending_preflight,validation_only_staged_grid,lowest_equal_client_validation_structural_mse,not_frozen_pending_preflight,full_eicu_audit_pending,all_eligible_proposed_pending_preflight,not_frozen_pending_preflight,validation_tuned,validation_tuned,validation_tuned,false,extension_eicu_study_a_linear_fedgda_s_uniform_clients,validation_only,"matched scenario artifacts, seed pairs, architecture family, training budget, and comparable tuning budget",false,not_started,,,,,,,not_applicable_extension,Study A v1 proposal; role=aggregation_ablation; aggregation_mode=sample_size; objective_mode=paper_aligned; full eICU required; demo smoke-only; primary metric is equal-client; no published numerical target.
extension_eicu_study_a_linear_fedogda_s_sample_size,extension,eicu_study_a_v1,experiments/eicu_study_a_protocol/protocol_v1.md,eicu_semisynthetic,eicu,structured_tabular,eicu_study_a_linear,"known linear g0(D,W)",fedogda_s,fedogda,federated,stochastic,,method_not_in_paper,false,new_experiment_no_paper_target,,,,equal_client_test_mse_at_best_validation,5,scenario:101|102|103|104|105;optimizer:1101|1102|1103|1104|1105,true,true,full_eicu_audit_pending,full_eicu_audit_pending,full_eicu_audit_pending,not_frozen_pending_preflight,natural_hospital,,,not_applicable_extension,not_frozen_pending_preflight,validation_only_staged_grid,lowest_equal_client_validation_structural_mse,not_frozen_pending_preflight,full_eicu_audit_pending,all_eligible_proposed_pending_preflight,not_frozen_pending_preflight,validation_tuned,validation_tuned,validation_tuned,false,extension_eicu_study_a_linear_fedogda_s_uniform_clients,validation_only,"matched scenario artifacts, seed pairs, architecture family, training budget, and comparable tuning budget",false,not_started,,,,,,,not_applicable_extension,Study A v1 proposal; role=aggregation_ablation; aggregation_mode=sample_size; objective_mode=paper_aligned; full eICU required; demo smoke-only; primary metric is equal-client; no published numerical target.
extension_eicu_study_a_interaction_fedgda_s_sample_size,extension,eicu_study_a_v1,experiments/eicu_study_a_protocol/protocol_v1.md,eicu_semisynthetic,eicu,structured_tabular,eicu_study_a_interaction,"known interaction g0(D,W)",fedgda_s,fedgda,federated,stochastic,FDeepGMM-SGDA,method_mapping_only_scenario_not_in_paper,false,new_experiment_no_paper_target,,,,equal_client_test_mse_at_best_validation,5,scenario:101|102|103|104|105;optimizer:1101|1102|1103|1104|1105,true,true,full_eicu_audit_pending,full_eicu_audit_pending,full_eicu_audit_pending,not_frozen_pending_preflight,natural_hospital,,,not_applicable_extension,not_frozen_pending_preflight,validation_only_staged_grid,lowest_equal_client_validation_structural_mse,not_frozen_pending_preflight,full_eicu_audit_pending,all_eligible_proposed_pending_preflight,not_frozen_pending_preflight,validation_tuned,validation_tuned,validation_tuned,false,extension_eicu_study_a_interaction_fedgda_s_uniform_clients,validation_only,"matched scenario artifacts, seed pairs, architecture family, training budget, and comparable tuning budget",false,not_started,,,,,,,not_applicable_extension,Study A v1 proposal; role=aggregation_ablation; aggregation_mode=sample_size; objective_mode=paper_aligned; full eICU required; demo smoke-only; primary metric is equal-client; no published numerical target.
extension_eicu_study_a_interaction_fedogda_s_sample_size,extension,eicu_study_a_v1,experiments/eicu_study_a_protocol/protocol_v1.md,eicu_semisynthetic,eicu,structured_tabular,eicu_study_a_interaction,"known interaction g0(D,W)",fedogda_s,fedogda,federated,stochastic,,method_not_in_paper,false,new_experiment_no_paper_target,,,,equal_client_test_mse_at_best_validation,5,scenario:101|102|103|104|105;optimizer:1101|1102|1103|1104|1105,true,true,full_eicu_audit_pending,full_eicu_audit_pending,full_eicu_audit_pending,not_frozen_pending_preflight,natural_hospital,,,not_applicable_extension,not_frozen_pending_preflight,validation_only_staged_grid,lowest_equal_client_validation_structural_mse,not_frozen_pending_preflight,full_eicu_audit_pending,all_eligible_proposed_pending_preflight,not_frozen_pending_preflight,validation_tuned,validation_tuned,validation_tuned,false,extension_eicu_study_a_interaction_fedogda_s_uniform_clients,validation_only,"matched scenario artifacts, seed pairs, architecture family, training budget, and comparable tuning budget",false,not_started,,,,,,,not_applicable_extension,Study A v1 proposal; role=aggregation_ablation; aggregation_mode=sample_size; objective_mode=paper_aligned; full eICU required; demo smoke-only; primary metric is equal-client; no published numerical target.
extension_eicu_study_a_frozen_random_mlp_fedgda_s_sample_size,extension,eicu_study_a_v1,experiments/eicu_study_a_protocol/protocol_v1.md,eicu_semisynthetic,eicu,structured_tabular,eicu_study_a_frozen_random_mlp,"known frozen-random-MLP g0(D,W)",fedgda_s,fedgda,federated,stochastic,FDeepGMM-SGDA,method_mapping_only_scenario_not_in_paper,false,new_experiment_no_paper_target,,,,equal_client_test_mse_at_best_validation,5,scenario:101|102|103|104|105;optimizer:1101|1102|1103|1104|1105,true,true,full_eicu_audit_pending,full_eicu_audit_pending,full_eicu_audit_pending,not_frozen_pending_preflight,natural_hospital,,,not_applicable_extension,not_frozen_pending_preflight,validation_only_staged_grid,lowest_equal_client_validation_structural_mse,not_frozen_pending_preflight,full_eicu_audit_pending,all_eligible_proposed_pending_preflight,not_frozen_pending_preflight,validation_tuned,validation_tuned,validation_tuned,false,extension_eicu_study_a_frozen_random_mlp_fedgda_s_uniform_clients,validation_only,"matched scenario artifacts, seed pairs, architecture family, training budget, and comparable tuning budget",false,not_started,,,,,,,not_applicable_extension,Study A v1 proposal; role=aggregation_ablation; aggregation_mode=sample_size; objective_mode=paper_aligned; full eICU required; demo smoke-only; primary metric is equal-client; no published numerical target.
extension_eicu_study_a_frozen_random_mlp_fedogda_s_sample_size,extension,eicu_study_a_v1,experiments/eicu_study_a_protocol/protocol_v1.md,eicu_semisynthetic,eicu,structured_tabular,eicu_study_a_frozen_random_mlp,"known frozen-random-MLP g0(D,W)",fedogda_s,fedogda,federated,stochastic,,method_not_in_paper,false,new_experiment_no_paper_target,,,,equal_client_test_mse_at_best_validation,5,scenario:101|102|103|104|105;optimizer:1101|1102|1103|1104|1105,true,true,full_eicu_audit_pending,full_eicu_audit_pending,full_eicu_audit_pending,not_frozen_pending_preflight,natural_hospital,,,not_applicable_extension,not_frozen_pending_preflight,validation_only_staged_grid,lowest_equal_client_validation_structural_mse,not_frozen_pending_preflight,full_eicu_audit_pending,all_eligible_proposed_pending_preflight,not_frozen_pending_preflight,validation_tuned,validation_tuned,validation_tuned,false,extension_eicu_study_a_frozen_random_mlp_fedogda_s_uniform_clients,validation_only,"matched scenario artifacts, seed pairs, architecture family, training budget, and comparable tuning budget",false,not_started,,,,,,,not_applicable_extension,Study A v1 proposal; role=aggregation_ablation; aggregation_mode=sample_size; objective_mode=paper_aligned; full eICU required; demo smoke-only; primary metric is equal-client; no published numerical target.
