target_id,track,source_version,source_location,dataset_family,dataset,input_mode,scenario,true_function,algorithm_id,algorithm_family,training_scope,stochasticity,paper_method_label,paper_mapping_status,paper_target_available,target_status,target_mean_test_mse,target_std_test_mse,paper_reported_value,target_metric,target_num_runs,seed_values,curve_required,aggregate_test_mse_required,train_size,validation_size,test_size,model_architecture,partition_method,partition_alpha,paper_batch_size,paper_batch_size_status,y_standardization,learning_rate_tuning,checkpoint_selection_method,communication_rounds,total_clients,clients_per_round,local_epochs,server_learning_rate,weight_decay,gradient_clipping,paper_protocol_match_required,comparison_reference,tuning_rule,fairness_rule,test_tuning_allowed,our_result_status,our_completed_seeds,our_result_dir_pattern,our_mean_test_mse,our_std_test_mse,absolute_mean_gap,relative_mean_gap_pct,protocol_match_status,notes
extension_step_fedogda_d,extension,arXiv:2505.21012v1,No published target,synthetic,step,low_dimensional,step,"g0(x) = 1{x >= 0}",fedogda_d,federated,federated,deterministic,,not_in_paper,false,new_experiment_no_paper_target,,,,averaged_test_mse,5,not_fixed_extension,true,true,,,,,not_fixed_extension,,,not_applicable_extension,not_fixed_extension,not_fixed_extension,not_fixed_extension,,,,,,,,false,fedgda_d,validation_only,"same data splits, seeds, model architecture, client partition, training budget, and comparable tuning budget as paired FedGDA",false,not_started,,,,,,,not_applicable_extension,"Expected research hypothesis: FedOGDA may outperform paired FedGDA; outcome must be determined after validation-based tuning and held-out test evaluation."
extension_step_fedogda_s,extension,arXiv:2505.21012v1,No published target,synthetic,step,low_dimensional,step,"g0(x) = 1{x >= 0}",fedogda_s,federated,federated,stochastic,,not_in_paper,false,new_experiment_no_paper_target,,,,averaged_test_mse,5,not_fixed_extension,true,true,,,,,not_fixed_extension,,,not_applicable_extension,not_fixed_extension,not_fixed_extension,not_fixed_extension,,,,,,,,false,fedgda_s,validation_only,"same data splits, seeds, model architecture, client partition, training budget, and comparable tuning budget as paired FedGDA",false,partial_one_of_five_repo_config,0,results/step/fedogda_s/seed_0/step_repo_pilot_seed0/,0.018537852230435622,,,,not_applicable_extension,"Single completed seed; no standard deviation until five seeds complete. Expected research hypothesis: FedOGDA may outperform paired FedGDA; outcome must be determined after validation-based tuning and held-out test evaluation."
paper_linear_gda_d,paper_reproduction,arXiv:2505.21012v1,"Section 5; Figure 1; Table 1",synthetic,linear,low_dimensional,linear,"g0(x) = x",gda_d,centralized,centralized,deterministic,DeepGMM-GDA,direct_paper_mapping,true,published_paper_target,0.02,0.00,0.02 ± 0.00,averaged_test_mse,5,not_provided_in_paper,true,true,20000,20000,20000,MLP,Dirichlet,0.3,,not_specified_in_paper,zero_mean_unit_variance,extensive_grid_search,not_specified_in_paper,,,,,,,,true,,validation_only,,false,not_started,,,,,,,not_assessed_no_run,"Communication rounds, client counts, local epochs, server learning rate, weight decay, and gradient clipping are not_specified_in_paper."
paper_linear_sgda_s,paper_reproduction,arXiv:2505.21012v1,"Section 5; Figure 1; Table 1",synthetic,linear,low_dimensional,linear,"g0(x) = x",sgda_s,centralized,centralized,stochastic,DeepGMM-SGDA,direct_paper_mapping,true,published_paper_target,0.03,0.00,0.03 ± 0.00,averaged_test_mse,5,not_provided_in_paper,true,true,20000,20000,20000,MLP,Dirichlet,0.3,,not_specified_in_paper,zero_mean_unit_variance,extensive_grid_search,not_specified_in_paper,,,,,,,,true,,validation_only,,false,not_started,,,,,,,not_assessed_no_run,"Communication rounds, client counts, local epochs, server learning rate, weight decay, and gradient clipping are not_specified_in_paper."
extension_linear_oadam_d,extension,arXiv:2505.21012v1,No published target,synthetic,linear,low_dimensional,linear,"g0(x) = x",oadam_d,centralized,centralized,deterministic,,not_separately_reported_in_paper,false,new_experiment_no_paper_target,,,,averaged_test_mse,5,not_fixed_extension,true,true,,,,,not_fixed_extension,,,not_applicable_extension,not_fixed_extension,not_fixed_extension,not_fixed_extension,,,,,,,,false,,validation_only,,false,not_started,,,,,,,not_applicable_extension,"Extension; no published numerical target."
paper_linear_oadam_s,paper_reproduction,arXiv:2505.21012v1,"Section 5; Figure 1; Table 1",synthetic,linear,low_dimensional,linear,"g0(x) = x",oadam_s,centralized,centralized,stochastic,DeepGMM-OAdam,direct_paper_mapping,true,published_paper_target,0.01,0.00,0.01 ± 0.00,averaged_test_mse,5,not_provided_in_paper,true,true,20000,20000,20000,MLP,Dirichlet,0.3,,not_specified_in_paper,zero_mean_unit_variance,extensive_grid_search,not_specified_in_paper,,,,,,,,true,,validation_only,,false,not_started,,,,,,,not_assessed_no_run,"Communication rounds, client counts, local epochs, server learning rate, weight decay, and gradient clipping are not_specified_in_paper."
paper_linear_fedgda_d,paper_reproduction,arXiv:2505.21012v1,"Section 5; Figure 1; Table 1",synthetic,linear,low_dimensional,linear,"g0(x) = x",fedgda_d,federated,federated,deterministic,FDeepGMM-GDA,direct_paper_mapping,true,published_paper_target,0.01,0.00,0.01 ± 0.00,averaged_test_mse,5,not_provided_in_paper,true,true,20000,20000,20000,MLP,Dirichlet,0.3,,not_specified_in_paper,zero_mean_unit_variance,extensive_grid_search,not_specified_in_paper,,,,,,,,true,,validation_only,,false,not_started,,,,,,,not_assessed_no_run,"Communication rounds, client counts, local epochs, server learning rate, weight decay, and gradient clipping are not_specified_in_paper."
paper_linear_fedgda_s,paper_reproduction,arXiv:2505.21012v1,"Section 5; Figure 1; Table 1",synthetic,linear,low_dimensional,linear,"g0(x) = x",fedgda_s,federated,federated,stochastic,FDeepGMM-SGDA,direct_paper_mapping,true,published_paper_target,0.04,0.00,0.04 ± 0.00,averaged_test_mse,5,not_provided_in_paper,true,true,20000,20000,20000,MLP,Dirichlet,0.3,256,specified_in_paper,zero_mean_unit_variance,extensive_grid_search,not_specified_in_paper,,,,,,,,true,,validation_only,,false,not_started,,,,,,,not_assessed_no_run,"Communication rounds, client counts, local epochs, server learning rate, weight decay, and gradient clipping are not_specified_in_paper."
extension_linear_fedogda_d,extension,arXiv:2505.21012v1,No published target,synthetic,linear,low_dimensional,linear,"g0(x) = x",fedogda_d,federated,federated,deterministic,,not_in_paper,false,new_experiment_no_paper_target,,,,averaged_test_mse,5,not_fixed_extension,true,true,,,,,not_fixed_extension,,,not_applicable_extension,not_fixed_extension,not_fixed_extension,not_fixed_extension,,,,,,,,false,fedgda_d,validation_only,"same data splits, seeds, model architecture, client partition, training budget, and comparable tuning budget as paired FedGDA",false,not_started,,,,,,,not_applicable_extension,"Expected research hypothesis: FedOGDA may outperform paired FedGDA; outcome must be determined after validation-based tuning and held-out test evaluation."
extension_linear_fedogda_s,extension,arXiv:2505.21012v1,No published target,synthetic,linear,low_dimensional,linear,"g0(x) = x",fedogda_s,federated,federated,stochastic,,not_in_paper,false,new_experiment_no_paper_target,,,,averaged_test_mse,5,not_fixed_extension,true,true,,,,,not_fixed_extension,,,not_applicable_extension,not_fixed_extension,not_fixed_extension,not_fixed_extension,,,,,,,,false,fedgda_s,validation_only,"same data splits, seeds, model architecture, client partition, training budget, and comparable tuning budget as paired FedGDA",false,not_started,,,,,,,not_applicable_extension,"Expected research hypothesis: FedOGDA may outperform paired FedGDA; outcome must be determined after validation-based tuning and held-out test evaluation."
extension_sine_gda_d,extension,arXiv:2505.21012v1,No published target,synthetic,sine,low_dimensional,sine,"g0(x) = sin(x)",gda_d,centralized,centralized,deterministic,,method_reported_but_scenario_not_in_paper,false,new_experiment_no_paper_target,,,,averaged_test_mse,5,not_fixed_extension,true,true,,,,,not_fixed_extension,,,not_applicable_extension,not_fixed_extension,not_fixed_extension,not_fixed_extension,,,,,,,,false,,validation_only,,false,not_started,,,,,,,not_applicable_extension,"Repository true function returns np.sin(x). Extension; no published numerical target."
extension_sine_sgda_s,extension,arXiv:2505.21012v1,No published target,synthetic,sine,low_dimensional,sine,"g0(x) = sin(x)",sgda_s,centralized,centralized,stochastic,,method_reported_but_scenario_not_in_paper,false,new_experiment_no_paper_target,,,,averaged_test_mse,5,not_fixed_extension,true,true,,,,,not_fixed_extension,,,not_applicable_extension,not_fixed_extension,not_fixed_extension,not_fixed_extension,,,,,,,,false,,validation_only,,false,not_started,,,,,,,not_applicable_extension,"Repository true function returns np.sin(x). Extension; no published numerical target."
extension_sine_oadam_d,extension,arXiv:2505.21012v1,No published target,synthetic,sine,low_dimensional,sine,"g0(x) = sin(x)",oadam_d,centralized,centralized,deterministic,,not_separately_reported_in_paper,false,new_experiment_no_paper_target,,,,averaged_test_mse,5,not_fixed_extension,true,true,,,,,not_fixed_extension,,,not_applicable_extension,not_fixed_extension,not_fixed_extension,not_fixed_extension,,,,,,,,false,,validation_only,,false,not_started,,,,,,,not_applicable_extension,"Repository true function returns np.sin(x). Extension; no published numerical target."
extension_sine_oadam_s,extension,arXiv:2505.21012v1,No published target,synthetic,sine,low_dimensional,sine,"g0(x) = sin(x)",oadam_s,centralized,centralized,stochastic,,method_reported_but_scenario_not_in_paper,false,new_experiment_no_paper_target,,,,averaged_test_mse,5,not_fixed_extension,true,true,,,,,not_fixed_extension,,,not_applicable_extension,not_fixed_extension,not_fixed_extension,not_fixed_extension,,,,,,,,false,,validation_only,,false,not_started,,,,,,,not_applicable_extension,"Repository true function returns np.sin(x). Extension; no published numerical target."
extension_sine_fedgda_d,extension,arXiv:2505.21012v1,No published target,synthetic,sine,low_dimensional,sine,"g0(x) = sin(x)",fedgda_d,federated,federated,deterministic,,method_reported_but_scenario_not_in_paper,false,new_experiment_no_paper_target,,,,averaged_test_mse,5,not_fixed_extension,true,true,,,,,not_fixed_extension,,,not_applicable_extension,not_fixed_extension,not_fixed_extension,not_fixed_extension,,,,,,,,false,,validation_only,,false,not_started,,,,,,,not_applicable_extension,"Repository true function returns np.sin(x). Extension; no published numerical target."
extension_sine_fedgda_s,extension,arXiv:2505.21012v1,No published target,synthetic,sine,low_dimensional,sine,"g0(x) = sin(x)",fedgda_s,federated,federated,stochastic,,method_reported_but_scenario_not_in_paper,false,new_experiment_no_paper_target,,,,averaged_test_mse,5,not_fixed_extension,true,true,,,,,not_fixed_extension,,,not_applicable_extension,not_fixed_extension,not_fixed_extension,not_fixed_extension,,,,,,,,false,,validation_only,,false,not_started,,,,,,,not_applicable_extension,"Repository true function returns np.sin(x). Extension; no published numerical target."
extension_sine_fedogda_d,extension,arXiv:2505.21012v1,No published target,synthetic,sine,low_dimensional,sine,"g0(x) = sin(x)",fedogda_d,federated,federated,deterministic,,not_in_paper,false,new_experiment_no_paper_target,,,,averaged_test_mse,5,not_fixed_extension,true,true,,,,,not_fixed_extension,,,not_applicable_extension,not_fixed_extension,not_fixed_extension,not_fixed_extension,,,,,,,,false,fedgda_d,validation_only,"same data splits, seeds, model architecture, client partition, training budget, and comparable tuning budget as paired FedGDA",false,not_started,,,,,,,not_applicable_extension,"Repository true function returns np.sin(x). Expected research hypothesis: FedOGDA may outperform paired FedGDA; outcome must be determined after validation-based tuning and held-out test evaluation."
extension_sine_fedogda_s,extension,arXiv:2505.21012v1,No published target,synthetic,sine,low_dimensional,sine,"g0(x) = sin(x)",fedogda_s,federated,federated,stochastic,,not_in_paper,false,new_experiment_no_paper_target,,,,averaged_test_mse,5,not_fixed_extension,true,true,,,,,not_fixed_extension,,,not_applicable_extension,not_fixed_extension,not_fixed_extension,not_fixed_extension,,,,,,,,false,fedgda_s,validation_only,"same data splits, seeds, model architecture, client partition, training budget, and comparable tuning budget as paired FedGDA",false,not_started,,,,,,,not_applicable_extension,"Repository true function returns np.sin(x). Expected research hypothesis: FedOGDA may outperform paired FedGDA; outcome must be determined after validation-based tuning and held-out test evaluation."
paper_femnist_x_gda_d,paper_reproduction,arXiv:2505.21012v1,"Section 5; Figure 1; Table 1",high_dimensional,femnist,x,femnist_x,,gda_d,centralized,centralized,deterministic,DeepGMM-GDA,direct_paper_mapping,true,published_paper_target,1.11,0.01,1.11 ± 0.01,averaged_test_mse,5,not_provided_in_paper,false,true,20000,10000,10000,CNN,Dirichlet,0.3,,not_specified_in_paper,zero_mean_unit_variance,extensive_grid_search,not_specified_in_paper,,,,,,,,true,,validation_only,,false,not_started,,,,,,,not_assessed_no_run,"X is represented as an image; Z remains low-dimensional. Communication rounds, client counts, local epochs, server learning rate, weight decay, and gradient clipping are not_specified_in_paper."
paper_femnist_x_sgda_s,paper_reproduction,arXiv:2505.21012v1,"Section 5; Figure 1; Table 1",high_dimensional,femnist,x,femnist_x,,sgda_s,centralized,centralized,stochastic,DeepGMM-SGDA,direct_paper_mapping,true,published_paper_target,0.40,0.01,0.40 ± 0.01,averaged_test_mse,5,not_provided_in_paper,false,true,20000,10000,10000,CNN,Dirichlet,0.3,,not_specified_in_paper,zero_mean_unit_variance,extensive_grid_search,not_specified_in_paper,,,,,,,,true,,validation_only,,false,not_started,,,,,,,not_assessed_no_run,"X is represented as an image; Z remains low-dimensional. Communication rounds, client counts, local epochs, server learning rate, weight decay, and gradient clipping are not_specified_in_paper."
extension_femnist_x_oadam_d,extension,arXiv:2505.21012v1,No published target,high_dimensional,femnist,x,femnist_x,,oadam_d,centralized,centralized,deterministic,,not_separately_reported_in_paper,false,new_experiment_no_paper_target,,,,averaged_test_mse,5,not_fixed_extension,false,true,,,,,not_fixed_extension,,,not_applicable_extension,not_fixed_extension,not_fixed_extension,not_fixed_extension,,,,,,,,false,,validation_only,,false,not_started,,,,,,,not_applicable_extension,"X is represented as an image; Z remains low-dimensional. Extension; no published numerical target."
paper_femnist_x_oadam_s,paper_reproduction,arXiv:2505.21012v1,"Section 5; Figure 1; Table 1",high_dimensional,femnist,x,femnist_x,,oadam_s,centralized,centralized,stochastic,DeepGMM-OAdam,direct_paper_mapping,true,published_paper_target,0.50,0.00,0.50 ± 0.00,averaged_test_mse,5,not_provided_in_paper,false,true,20000,10000,10000,CNN,Dirichlet,0.3,,not_specified_in_paper,zero_mean_unit_variance,extensive_grid_search,not_specified_in_paper,,,,,,,,true,,validation_only,,false,not_started,,,,,,,not_assessed_no_run,"X is represented as an image; Z remains low-dimensional. Communication rounds, client counts, local epochs, server learning rate, weight decay, and gradient clipping are not_specified_in_paper."
paper_femnist_x_fedgda_d,paper_reproduction,arXiv:2505.21012v1,"Section 5; Figure 1; Table 1",high_dimensional,femnist,x,femnist_x,,fedgda_d,federated,federated,deterministic,FDeepGMM-GDA,direct_paper_mapping,true,published_paper_target,0.21,0.02,0.21 ± 0.02,averaged_test_mse,5,not_provided_in_paper,false,true,20000,10000,10000,CNN,Dirichlet,0.3,,not_specified_in_paper,zero_mean_unit_variance,extensive_grid_search,not_specified_in_paper,,,,,,,,true,,validation_only,,false,not_started,,,,,,,not_assessed_no_run,"X is represented as an image; Z remains low-dimensional. Communication rounds, client counts, local epochs, server learning rate, weight decay, and gradient clipping are not_specified_in_paper."
paper_femnist_x_fedgda_s,paper_reproduction,arXiv:2505.21012v1,"Section 5; Figure 1; Table 1",high_dimensional,femnist,x,femnist_x,,fedgda_s,federated,federated,stochastic,FDeepGMM-SGDA,direct_paper_mapping,true,published_paper_target,0.19,0.01,0.19 ± 0.01,averaged_test_mse,5,not_provided_in_paper,false,true,20000,10000,10000,CNN,Dirichlet,0.3,256,specified_in_paper,zero_mean_unit_variance,extensive_grid_search,not_specified_in_paper,,,,,,,,true,,validation_only,,false,not_started,,,,,,,not_assessed_no_run,"X is represented as an image; Z remains low-dimensional. Communication rounds, client counts, local epochs, server learning rate, weight decay, and gradient clipping are not_specified_in_paper."
extension_femnist_x_fedogda_d,extension,arXiv:2505.21012v1,No published target,high_dimensional,femnist,x,femnist_x,,fedogda_d,federated,federated,deterministic,,not_in_paper,false,new_experiment_no_paper_target,,,,averaged_test_mse,5,not_fixed_extension,false,true,,,,,not_fixed_extension,,,not_applicable_extension,not_fixed_extension,not_fixed_extension,not_fixed_extension,,,,,,,,false,fedgda_d,validation_only,"same data splits, seeds, model architecture, client partition, training budget, and comparable tuning budget as paired FedGDA",false,not_started,,,,,,,not_applicable_extension,"X is represented as an image; Z remains low-dimensional. Expected research hypothesis: FedOGDA may outperform paired FedGDA; outcome must be determined after validation-based tuning and held-out test evaluation."
extension_femnist_x_fedogda_s,extension,arXiv:2505.21012v1,No published target,high_dimensional,femnist,x,femnist_x,,fedogda_s,federated,federated,stochastic,,not_in_paper,false,new_experiment_no_paper_target,,,,averaged_test_mse,5,not_fixed_extension,false,true,,,,,not_fixed_extension,,,not_applicable_extension,not_fixed_extension,not_fixed_extension,not_fixed_extension,,,,,,,,false,fedgda_s,validation_only,"same data splits, seeds, model architecture, client partition, training budget, and comparable tuning budget as paired FedGDA",false,not_started,,,,,,,not_applicable_extension,"X is represented as an image; Z remains low-dimensional. Expected research hypothesis: FedOGDA may outperform paired FedGDA; outcome must be determined after validation-based tuning and held-out test evaluation."
paper_femnist_xz_gda_d,paper_reproduction,arXiv:2505.21012v1,"Section 5; Figure 1; Table 1",high_dimensional,femnist,xz,femnist_xz,,gda_d,centralized,centralized,deterministic,DeepGMM-GDA,direct_paper_mapping,true,published_paper_target,0.46,0.09,0.46 ± 0.09,averaged_test_mse,5,not_provided_in_paper,false,true,20000,10000,10000,CNN,Dirichlet,0.3,,not_specified_in_paper,zero_mean_unit_variance,extensive_grid_search,not_specified_in_paper,,,,,,,,true,,validation_only,,false,not_started,,,,,,,not_assessed_no_run,"Both X and Z are represented as images. Communication rounds, client counts, local epochs, server learning rate, weight decay, and gradient clipping are not_specified_in_paper."
