hospitalid,n_patients,n_treated,n_untreated,n_deaths,treatment_rate,mortality_rate,n_wards,n_eligible_wards,max_ward_size,ward_treatment_rate_sd,region,teachingstatus,numbedscategory,ward_eligible,contributes_to_group
206,2,2,0,1,1.0,0.5,1,0,2,0.0,Northeast,f,250 - 499,False,False
210,1,0,1,0,0.0,0.0,1,0,1,0.0,South,f,100 - 249,False,False
243,3,2,1,0,0.6666666666666666,0.0,2,0,2,0.5,South,f,>= 500,False,True
245,1,0,1,0,0.0,0.0,1,0,1,0.0,South,f,100 - 249,False,False
249,1,0,1,0,0.0,0.0,1,0,1,0.0,Midwest,f,<100,False,False
250,4,0,4,1,0.0,0.25,1,0,4,0.0,Midwest,f,100 - 249,False,False
251,1,0,1,0,0.0,0.0,1,0,1,0.0,Midwest,f,<100,False,False
252,2,0,2,0,0.0,0.0,1,0,2,0.0,Midwest,t,>= 500,False,False
253,2,1,1,1,0.5,0.5,1,0,2,0.0,Midwest,f,100 - 249,False,True
256,2,0,2,0,0.0,0.0,1,0,2,0.0,Midwest,f,100 - 249,False,False
262,2,0,2,0,0.0,0.0,1,0,2,0.0,Midwest,f,<100,False,False
263,1,0,1,0,0.0,0.0,1,0,1,0.0,,f,,False,False
264,2,1,1,0,0.5,0.0,1,0,2,0.0,Midwest,t,>= 500,False,True
266,1,0,1,0,0.0,0.0,1,0,1,0.0,Midwest,f,,False,False
268,3,1,2,2,0.3333333333333333,0.6666666666666666,1,0,3,0.0,,f,,False,True
269,4,0,4,1,0.0,0.25,1,0,4,0.0,,f,,False,False
271,2,0,2,1,0.0,0.5,1,0,2,0.0,Midwest,f,,False,False
272,1,0,1,0,0.0,0.0,1,0,1,0.0,Midwest,f,100 - 249,False,False
273,5,2,3,1,0.4,0.2,1,0,5,0.0,Midwest,f,100 - 249,False,True
275,2,0,2,0,0.0,0.0,1,0,2,0.0,Midwest,f,100 - 249,False,False
277,4,0,4,0,0.0,0.0,2,0,3,0.0,Midwest,f,100 - 249,False,False
279,1,0,1,0,0.0,0.0,1,0,1,0.0,Midwest,f,100 - 249,False,False
280,1,0,1,0,0.0,0.0,1,0,1,0.0,Midwest,f,250 - 499,False,False
281,1,0,1,0,0.0,0.0,1,0,1,0.0,Midwest,f,250 - 499,False,False
282,2,0,2,1,0.0,0.5,1,0,2,0.0,Midwest,f,100 - 249,False,False
283,6,0,6,0,0.0,0.0,2,0,4,0.0,Midwest,f,250 - 499,False,False
303,1,0,1,0,0.0,0.0,1,0,1,0.0,,f,,False,False
307,1,1,0,1,1.0,1.0,1,0,1,0.0,South,f,250 - 499,False,False
312,2,0,2,0,0.0,0.0,1,0,2,0.0,South,f,100 - 249,False,False
328,3,0,3,1,0.0,0.3333333333333333,1,0,3,0.0,Midwest,f,<100,False,False
331,1,0,1,0,0.0,0.0,1,0,1,0.0,,f,,False,False
336,1,0,1,0,0.0,0.0,1,0,1,0.0,Midwest,f,100 - 249,False,False
337,1,0,1,1,0.0,1.0,1,0,1,0.0,,f,,False,False
338,1,0,1,0,0.0,0.0,1,0,1,0.0,Midwest,f,>= 500,False,False
381,4,0,4,0,0.0,0.0,1,0,4,0.0,West,f,<100,False,False
383,1,0,1,0,0.0,0.0,1,0,1,0.0,West,f,100 - 249,False,False
386,3,0,3,1,0.0,0.3333333333333333,1,0,3,0.0,West,f,100 - 249,False,False
389,2,2,0,1,1.0,0.5,1,0,2,0.0,West,f,<100,False,False
390,1,0,1,0,0.0,0.0,1,0,1,0.0,,f,250 - 499,False,False
392,3,0,3,2,0.0,0.6666666666666666,1,0,3,0.0,West,f,250 - 499,False,False
393,5,0,5,0,0.0,0.0,1,0,5,0.0,West,f,<100,False,False
394,1,1,0,1,1.0,1.0,1,0,1,0.0,West,f,250 - 499,False,False
396,6,1,5,0,0.16666666666666666,0.0,1,0,6,0.0,West,f,100 - 249,False,True
399,5,1,4,0,0.2,0.0,1,0,5,0.0,West,f,<100,False,True
400,5,0,5,2,0.0,0.4,1,0,5,0.0,West,f,250 - 499,False,False
402,4,0,4,0,0.0,0.0,1,0,4,0.0,West,f,<100,False,False
404,4,0,4,0,0.0,0.0,1,0,4,0.0,West,f,<100,False,False
405,5,1,4,1,0.2,0.2,1,0,5,0.0,West,f,100 - 249,False,True
407,2,1,1,0,0.5,0.0,2,0,1,0.5,West,f,100 - 249,False,True
416,1,0,1,0,0.0,0.0,1,0,1,0.0,Midwest,t,>= 500,False,False
417,2,1,1,1,0.5,0.5,1,0,2,0.0,South,f,250 - 499,False,True
419,2,1,1,0,0.5,0.0,1,0,2,0.0,Northeast,f,250 - 499,False,True
420,3,0,3,0,0.0,0.0,2,0,2,0.0,Northeast,t,>= 500,False,False
424,2,1,1,0,0.5,0.0,1,0,2,0.0,Northeast,f,<100,False,True
428,2,1,1,0,0.5,0.0,1,0,2,0.0,South,f,100 - 249,False,True
433,1,0,1,0,0.0,0.0,1,0,1,0.0,South,f,,False,False
435,2,0,2,1,0.0,0.5,1,0,2,0.0,South,f,250 - 499,False,False
436,1,0,1,0,0.0,0.0,1,0,1,0.0,South,f,100 - 249,False,False
440,1,0,1,0,0.0,0.0,1,0,1,0.0,South,f,250 - 499,False,False
444,1,0,1,0,0.0,0.0,1,0,1,0.0,Midwest,f,,False,False
445,1,1,0,0,1.0,0.0,1,0,1,0.0,Midwest,f,100 - 249,False,False
452,1,0,1,0,0.0,0.0,1,0,1,0.0,Midwest,f,,False,False
458,1,0,1,0,0.0,0.0,1,0,1,0.0,South,f,>= 500,False,False
459,3,0,3,0,0.0,0.0,1,0,3,0.0,South,f,100 - 249,False,False
