alpha,dataset,method,seed,run_id,status,round_rows,old_result_dir,error
0.1,cifar10_xz,fedgda_s,0,highdim_abs_cifar10_xz_fedgda_s_seed0_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedgda_s/seed_0/highdim_abs_cifar10_xz_fedgda_s_seed0_alpha0p1,
0.1,cifar10_xz,fedgda_s,1,highdim_abs_cifar10_xz_fedgda_s_seed1_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedgda_s/seed_1/highdim_abs_cifar10_xz_fedgda_s_seed1_alpha0p1,
0.1,cifar10_xz,fedgda_s,2,highdim_abs_cifar10_xz_fedgda_s_seed2_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedgda_s/seed_2/highdim_abs_cifar10_xz_fedgda_s_seed2_alpha0p1,
0.1,cifar10_xz,fedgda_s,3,highdim_abs_cifar10_xz_fedgda_s_seed3_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedgda_s/seed_3/highdim_abs_cifar10_xz_fedgda_s_seed3_alpha0p1,
0.1,cifar10_xz,fedgda_s,4,highdim_abs_cifar10_xz_fedgda_s_seed4_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedgda_s/seed_4/highdim_abs_cifar10_xz_fedgda_s_seed4_alpha0p1,
0.1,cifar10_xz,fedogda_s,0,highdim_abs_cifar10_xz_fedogda_s_seed0_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedogda_s/seed_0/highdim_abs_cifar10_xz_fedogda_s_seed0_alpha0p1,
0.1,cifar10_xz,fedogda_s,1,highdim_abs_cifar10_xz_fedogda_s_seed1_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedogda_s/seed_1/highdim_abs_cifar10_xz_fedogda_s_seed1_alpha0p1,
0.1,cifar10_xz,fedogda_s,2,highdim_abs_cifar10_xz_fedogda_s_seed2_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedogda_s/seed_2/highdim_abs_cifar10_xz_fedogda_s_seed2_alpha0p1,
0.1,cifar10_xz,fedogda_s,3,highdim_abs_cifar10_xz_fedogda_s_seed3_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedogda_s/seed_3/highdim_abs_cifar10_xz_fedogda_s_seed3_alpha0p1,
0.1,cifar10_xz,fedogda_s,4,highdim_abs_cifar10_xz_fedogda_s_seed4_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedogda_s/seed_4/highdim_abs_cifar10_xz_fedogda_s_seed4_alpha0p1,
0.1,cifar10_z,fedgda_s,0,highdim_abs_cifar10_z_fedgda_s_seed0_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedgda_s/seed_0/highdim_abs_cifar10_z_fedgda_s_seed0_alpha0p1,
0.1,cifar10_z,fedgda_s,1,highdim_abs_cifar10_z_fedgda_s_seed1_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedgda_s/seed_1/highdim_abs_cifar10_z_fedgda_s_seed1_alpha0p1,
0.1,cifar10_z,fedgda_s,2,highdim_abs_cifar10_z_fedgda_s_seed2_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedgda_s/seed_2/highdim_abs_cifar10_z_fedgda_s_seed2_alpha0p1,
0.1,cifar10_z,fedgda_s,3,highdim_abs_cifar10_z_fedgda_s_seed3_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedgda_s/seed_3/highdim_abs_cifar10_z_fedgda_s_seed3_alpha0p1,
0.1,cifar10_z,fedgda_s,4,highdim_abs_cifar10_z_fedgda_s_seed4_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedgda_s/seed_4/highdim_abs_cifar10_z_fedgda_s_seed4_alpha0p1,
0.1,cifar10_z,fedogda_s,0,highdim_abs_cifar10_z_fedogda_s_seed0_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedogda_s/seed_0/highdim_abs_cifar10_z_fedogda_s_seed0_alpha0p1,
0.1,cifar10_z,fedogda_s,1,highdim_abs_cifar10_z_fedogda_s_seed1_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedogda_s/seed_1/highdim_abs_cifar10_z_fedogda_s_seed1_alpha0p1,
0.1,cifar10_z,fedogda_s,2,highdim_abs_cifar10_z_fedogda_s_seed2_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedogda_s/seed_2/highdim_abs_cifar10_z_fedogda_s_seed2_alpha0p1,
0.1,cifar10_z,fedogda_s,3,highdim_abs_cifar10_z_fedogda_s_seed3_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedogda_s/seed_3/highdim_abs_cifar10_z_fedogda_s_seed3_alpha0p1,
0.1,cifar10_z,fedogda_s,4,highdim_abs_cifar10_z_fedogda_s_seed4_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedogda_s/seed_4/highdim_abs_cifar10_z_fedogda_s_seed4_alpha0p1,
0.1,femnist_x,fedgda_s,0,highdim_abs_femnist_x_fedgda_s_seed0_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_x/fedgda_s/seed_0/highdim_abs_femnist_x_fedgda_s_seed0_alpha0p1,
0.1,femnist_x,fedgda_s,1,highdim_abs_femnist_x_fedgda_s_seed1_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_x/fedgda_s/seed_1/highdim_abs_femnist_x_fedgda_s_seed1_alpha0p1,
0.1,femnist_x,fedgda_s,2,highdim_abs_femnist_x_fedgda_s_seed2_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_x/fedgda_s/seed_2/highdim_abs_femnist_x_fedgda_s_seed2_alpha0p1,
0.1,femnist_x,fedgda_s,3,highdim_abs_femnist_x_fedgda_s_seed3_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_x/fedgda_s/seed_3/highdim_abs_femnist_x_fedgda_s_seed3_alpha0p1,
0.1,femnist_x,fedgda_s,4,highdim_abs_femnist_x_fedgda_s_seed4_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_x/fedgda_s/seed_4/highdim_abs_femnist_x_fedgda_s_seed4_alpha0p1,
0.1,femnist_x,fedogda_s,0,highdim_abs_femnist_x_fedogda_s_seed0_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_x/fedogda_s/seed_0/highdim_abs_femnist_x_fedogda_s_seed0_alpha0p1,
0.1,femnist_x,fedogda_s,1,highdim_abs_femnist_x_fedogda_s_seed1_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_x/fedogda_s/seed_1/highdim_abs_femnist_x_fedogda_s_seed1_alpha0p1,
0.1,femnist_x,fedogda_s,2,highdim_abs_femnist_x_fedogda_s_seed2_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_x/fedogda_s/seed_2/highdim_abs_femnist_x_fedogda_s_seed2_alpha0p1,
0.1,femnist_x,fedogda_s,3,highdim_abs_femnist_x_fedogda_s_seed3_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_x/fedogda_s/seed_3/highdim_abs_femnist_x_fedogda_s_seed3_alpha0p1,
0.1,femnist_x,fedogda_s,4,highdim_abs_femnist_x_fedogda_s_seed4_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_x/fedogda_s/seed_4/highdim_abs_femnist_x_fedogda_s_seed4_alpha0p1,
0.1,femnist_xz,fedgda_s,0,highdim_abs_femnist_xz_fedgda_s_seed0_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_xz/fedgda_s/seed_0/highdim_abs_femnist_xz_fedgda_s_seed0_alpha0p1,
0.1,femnist_xz,fedgda_s,1,highdim_abs_femnist_xz_fedgda_s_seed1_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_xz/fedgda_s/seed_1/highdim_abs_femnist_xz_fedgda_s_seed1_alpha0p1,
0.1,femnist_xz,fedgda_s,2,highdim_abs_femnist_xz_fedgda_s_seed2_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_xz/fedgda_s/seed_2/highdim_abs_femnist_xz_fedgda_s_seed2_alpha0p1,
0.1,femnist_xz,fedgda_s,3,highdim_abs_femnist_xz_fedgda_s_seed3_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_xz/fedgda_s/seed_3/highdim_abs_femnist_xz_fedgda_s_seed3_alpha0p1,
0.1,femnist_xz,fedgda_s,4,highdim_abs_femnist_xz_fedgda_s_seed4_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_xz/fedgda_s/seed_4/highdim_abs_femnist_xz_fedgda_s_seed4_alpha0p1,
0.1,femnist_xz,fedogda_s,0,highdim_abs_femnist_xz_fedogda_s_seed0_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_xz/fedogda_s/seed_0/highdim_abs_femnist_xz_fedogda_s_seed0_alpha0p1,
0.1,femnist_xz,fedogda_s,1,highdim_abs_femnist_xz_fedogda_s_seed1_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_xz/fedogda_s/seed_1/highdim_abs_femnist_xz_fedogda_s_seed1_alpha0p1,
0.1,femnist_xz,fedogda_s,2,highdim_abs_femnist_xz_fedogda_s_seed2_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_xz/fedogda_s/seed_2/highdim_abs_femnist_xz_fedogda_s_seed2_alpha0p1,
0.1,femnist_xz,fedogda_s,3,highdim_abs_femnist_xz_fedogda_s_seed3_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_xz/fedogda_s/seed_3/highdim_abs_femnist_xz_fedogda_s_seed3_alpha0p1,
0.1,femnist_xz,fedogda_s,4,highdim_abs_femnist_xz_fedogda_s_seed4_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_xz/fedogda_s/seed_4/highdim_abs_femnist_xz_fedogda_s_seed4_alpha0p1,
0.1,femnist_z,fedgda_s,0,highdim_abs_femnist_z_fedgda_s_seed0_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_z/fedgda_s/seed_0/highdim_abs_femnist_z_fedgda_s_seed0_alpha0p1,
0.1,femnist_z,fedgda_s,1,highdim_abs_femnist_z_fedgda_s_seed1_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_z/fedgda_s/seed_1/highdim_abs_femnist_z_fedgda_s_seed1_alpha0p1,
0.1,femnist_z,fedgda_s,2,highdim_abs_femnist_z_fedgda_s_seed2_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_z/fedgda_s/seed_2/highdim_abs_femnist_z_fedgda_s_seed2_alpha0p1,
0.1,femnist_z,fedgda_s,3,highdim_abs_femnist_z_fedgda_s_seed3_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_z/fedgda_s/seed_3/highdim_abs_femnist_z_fedgda_s_seed3_alpha0p1,
0.1,femnist_z,fedgda_s,4,highdim_abs_femnist_z_fedgda_s_seed4_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_z/fedgda_s/seed_4/highdim_abs_femnist_z_fedgda_s_seed4_alpha0p1,
0.1,femnist_z,fedogda_s,0,highdim_abs_femnist_z_fedogda_s_seed0_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_z/fedogda_s/seed_0/highdim_abs_femnist_z_fedogda_s_seed0_alpha0p1,
0.1,femnist_z,fedogda_s,1,highdim_abs_femnist_z_fedogda_s_seed1_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_z/fedogda_s/seed_1/highdim_abs_femnist_z_fedogda_s_seed1_alpha0p1,
0.1,femnist_z,fedogda_s,2,highdim_abs_femnist_z_fedogda_s_seed2_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_z/fedogda_s/seed_2/highdim_abs_femnist_z_fedogda_s_seed2_alpha0p1,
0.1,femnist_z,fedogda_s,3,highdim_abs_femnist_z_fedogda_s_seed3_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_z/fedogda_s/seed_3/highdim_abs_femnist_z_fedogda_s_seed3_alpha0p1,
0.1,femnist_z,fedogda_s,4,highdim_abs_femnist_z_fedogda_s_seed4_alpha0p1,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_z/fedogda_s/seed_4/highdim_abs_femnist_z_fedogda_s_seed4_alpha0p1,
0.5,cifar10_x,fedogda_s,3,highdim_abs_cifar10_x_fedogda_s_seed3_alpha0p5,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_x/fedogda_s/seed_3/highdim_abs_cifar10_x_fedogda_s_seed3_alpha0p5,
0.5,cifar10_x,fedogda_s,4,highdim_abs_cifar10_x_fedogda_s_seed4_alpha0p5,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_x/fedogda_s/seed_4/highdim_abs_cifar10_x_fedogda_s_seed4_alpha0p5,
0.5,cifar10_xz,fedgda_s,0,highdim_abs_cifar10_xz_fedgda_s_seed0_alpha0p5,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedgda_s/seed_0/highdim_abs_cifar10_xz_fedgda_s_seed0_alpha0p5,
0.5,cifar10_xz,fedgda_s,1,highdim_abs_cifar10_xz_fedgda_s_seed1_alpha0p5,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedgda_s/seed_1/highdim_abs_cifar10_xz_fedgda_s_seed1_alpha0p5,
0.5,cifar10_xz,fedgda_s,2,highdim_abs_cifar10_xz_fedgda_s_seed2_alpha0p5,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedgda_s/seed_2/highdim_abs_cifar10_xz_fedgda_s_seed2_alpha0p5,
0.5,cifar10_xz,fedgda_s,3,highdim_abs_cifar10_xz_fedgda_s_seed3_alpha0p5,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedgda_s/seed_3/highdim_abs_cifar10_xz_fedgda_s_seed3_alpha0p5,
0.5,cifar10_xz,fedgda_s,4,highdim_abs_cifar10_xz_fedgda_s_seed4_alpha0p5,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedgda_s/seed_4/highdim_abs_cifar10_xz_fedgda_s_seed4_alpha0p5,
0.5,cifar10_xz,fedogda_s,0,highdim_abs_cifar10_xz_fedogda_s_seed0_alpha0p5,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedogda_s/seed_0/highdim_abs_cifar10_xz_fedogda_s_seed0_alpha0p5,
0.5,cifar10_xz,fedogda_s,1,highdim_abs_cifar10_xz_fedogda_s_seed1_alpha0p5,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedogda_s/seed_1/highdim_abs_cifar10_xz_fedogda_s_seed1_alpha0p5,
0.5,cifar10_xz,fedogda_s,2,highdim_abs_cifar10_xz_fedogda_s_seed2_alpha0p5,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedogda_s/seed_2/highdim_abs_cifar10_xz_fedogda_s_seed2_alpha0p5,
0.5,cifar10_xz,fedogda_s,3,highdim_abs_cifar10_xz_fedogda_s_seed3_alpha0p5,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedogda_s/seed_3/highdim_abs_cifar10_xz_fedogda_s_seed3_alpha0p5,
0.5,cifar10_xz,fedogda_s,4,highdim_abs_cifar10_xz_fedogda_s_seed4_alpha0p5,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_xz/fedogda_s/seed_4/highdim_abs_cifar10_xz_fedogda_s_seed4_alpha0p5,
0.5,cifar10_z,fedgda_s,0,highdim_abs_cifar10_z_fedgda_s_seed0_alpha0p5,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedgda_s/seed_0/highdim_abs_cifar10_z_fedgda_s_seed0_alpha0p5,
0.5,cifar10_z,fedgda_s,1,highdim_abs_cifar10_z_fedgda_s_seed1_alpha0p5,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedgda_s/seed_1/highdim_abs_cifar10_z_fedgda_s_seed1_alpha0p5,
0.5,cifar10_z,fedgda_s,2,highdim_abs_cifar10_z_fedgda_s_seed2_alpha0p5,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedgda_s/seed_2/highdim_abs_cifar10_z_fedgda_s_seed2_alpha0p5,
0.5,cifar10_z,fedgda_s,3,highdim_abs_cifar10_z_fedgda_s_seed3_alpha0p5,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedgda_s/seed_3/highdim_abs_cifar10_z_fedgda_s_seed3_alpha0p5,
0.5,cifar10_z,fedgda_s,4,highdim_abs_cifar10_z_fedgda_s_seed4_alpha0p5,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedgda_s/seed_4/highdim_abs_cifar10_z_fedgda_s_seed4_alpha0p5,
0.5,cifar10_z,fedogda_s,0,highdim_abs_cifar10_z_fedogda_s_seed0_alpha0p5,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedogda_s/seed_0/highdim_abs_cifar10_z_fedogda_s_seed0_alpha0p5,
0.5,cifar10_z,fedogda_s,1,highdim_abs_cifar10_z_fedogda_s_seed1_alpha0p5,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedogda_s/seed_1/highdim_abs_cifar10_z_fedogda_s_seed1_alpha0p5,
0.5,cifar10_z,fedogda_s,2,highdim_abs_cifar10_z_fedogda_s_seed2_alpha0p5,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedogda_s/seed_2/highdim_abs_cifar10_z_fedogda_s_seed2_alpha0p5,
0.5,cifar10_z,fedogda_s,3,highdim_abs_cifar10_z_fedogda_s_seed3_alpha0p5,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedogda_s/seed_3/highdim_abs_cifar10_z_fedogda_s_seed3_alpha0p5,
0.5,cifar10_z,fedogda_s,4,highdim_abs_cifar10_z_fedogda_s_seed4_alpha0p5,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_z/fedogda_s/seed_4/highdim_abs_cifar10_z_fedogda_s_seed4_alpha0p5,
0.5,femnist_x,fedgda_s,0,highdim_abs_femnist_x_fedgda_s_seed0_alpha0p5,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_x/fedgda_s/seed_0/highdim_abs_femnist_x_fedgda_s_seed0_alpha0p5,
0.5,femnist_x,fedgda_s,1,highdim_abs_femnist_x_fedgda_s_seed1_alpha0p5,complete,1500,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_x/fedgda_s/seed_1/highdim_abs_femnist_x_fedgda_s_seed1_alpha0p5,
