run_id,protocol_version,run_group,training_scope,method,method_label,dataset,seed,alpha,output_root,final_result_dir,implementation_status,run_status,preflight_required,preflight_status,model,federated_optimizer,client_optimizer,client_num_in_total,client_num_per_round,comm_round,epochs,batch_size,partition_method,partition_alpha,data_cache_dir,learning_rate,learning_rate_status,weight_decay,critic_multiplier,server_learning_rate,gradient_clip_norm,simple_model_selection_epochs,f_history_model_selection_epochs,model_selection_batch_size,using_gpu,gpu_id,notes
highdim_abs_femnist_x_fedgda_s_seed2_alpha0p5,highdim_coauthor_protocol_v1_alpha0p5,real_images_abs_alpha0p5_final,federated,fedgda_s,FedGDA-S,femnist_x,2,0.5,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v2_20260719_233531,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v2_20260719_233531/femnist_x/fedgda_s/seed_2/highdim_abs_femnist_x_fedgda_s_seed2_alpha0p5,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,10,1500,3,256,hetero,0.5,data,0.01,selected_by_seed0_validation_tuning,0.05,10.0,1.5,1.0,100,60,200,True,,Co-author-approved fixed-abs high-dimensional final run; five seeds; 1500 rounds for the stochastic regime; inspect validation convergence at round 200 without using Test MSE for stopping or selection. Validation source: tune_femnist_x_fedgda_s_seed0_lr0p01_wd0p05. Speedup continuation migration 20260719_123539; old complete artifacts preserved separately; generated only for missing final runs. Second continuation 20260719_233531; previous partial preserved at results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/femnist_x/fedgda_s/seed_2/highdim_abs_femnist_x_fedgda_s_seed2_alpha0p5 with 1196 rows; rerun from scratch in v2 root.
highdim_abs_femnist_xz_fedgda_s_seed3_alpha0p5,highdim_coauthor_protocol_v1_alpha0p5,real_images_abs_alpha0p5_final,federated,fedgda_s,FedGDA-S,femnist_xz,3,0.5,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v2_20260719_233531,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v2_20260719_233531/femnist_xz/fedgda_s/seed_3/highdim_abs_femnist_xz_fedgda_s_seed3_alpha0p5,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,10,1500,3,256,hetero,0.5,data,0.01,selected_by_seed0_validation_tuning,0.05,10.0,1.5,1.0,100,60,200,True,,Co-author-approved fixed-abs high-dimensional final run; five seeds; 1500 rounds for the stochastic regime; inspect validation convergence at round 200 without using Test MSE for stopping or selection. Validation source: tune_femnist_xz_fedgda_s_seed0_lr0p01_wd0p05. Speedup continuation migration 20260719_123539; old complete artifacts preserved separately; generated only for missing final runs. Second continuation 20260719_233531; generated only for rows incomplete after first continuation.
highdim_abs_femnist_xz_fedgda_s_seed4_alpha0p5,highdim_coauthor_protocol_v1_alpha0p5,real_images_abs_alpha0p5_final,federated,fedgda_s,FedGDA-S,femnist_xz,4,0.5,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v2_20260719_233531,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v2_20260719_233531/femnist_xz/fedgda_s/seed_4/highdim_abs_femnist_xz_fedgda_s_seed4_alpha0p5,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,10,1500,3,256,hetero,0.5,data,0.01,selected_by_seed0_validation_tuning,0.05,10.0,1.5,1.0,100,60,200,True,,Co-author-approved fixed-abs high-dimensional final run; five seeds; 1500 rounds for the stochastic regime; inspect validation convergence at round 200 without using Test MSE for stopping or selection. Validation source: tune_femnist_xz_fedgda_s_seed0_lr0p01_wd0p05. Speedup continuation migration 20260719_123539; old complete artifacts preserved separately; generated only for missing final runs. Second continuation 20260719_233531; generated only for rows incomplete after first continuation.
highdim_abs_femnist_xz_fedogda_s_seed0_alpha0p5,highdim_coauthor_protocol_v1_alpha0p5,real_images_abs_alpha0p5_final,federated,fedogda_s,FedOGDA-S,femnist_xz,0,0.5,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v2_20260719_233531,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v2_20260719_233531/femnist_xz/fedogda_s/seed_0/highdim_abs_femnist_xz_fedogda_s_seed0_alpha0p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,1500,3,256,hetero,0.5,data,0.003,selected_by_seed0_validation_tuning,0.05,10.0,1.5,1.0,100,60,200,True,,Co-author-approved fixed-abs high-dimensional final run; five seeds; 1500 rounds for the stochastic regime; inspect validation convergence at round 200 without using Test MSE for stopping or selection. Validation source: tune_femnist_xz_fedogda_s_seed0_lr0p003_wd0p05. Speedup continuation migration 20260719_123539; old complete artifacts preserved separately; generated only for missing final runs. Second continuation 20260719_233531; generated only for rows incomplete after first continuation.
highdim_abs_femnist_xz_fedogda_s_seed1_alpha0p5,highdim_coauthor_protocol_v1_alpha0p5,real_images_abs_alpha0p5_final,federated,fedogda_s,FedOGDA-S,femnist_xz,1,0.5,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v2_20260719_233531,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v2_20260719_233531/femnist_xz/fedogda_s/seed_1/highdim_abs_femnist_xz_fedogda_s_seed1_alpha0p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,1500,3,256,hetero,0.5,data,0.003,selected_by_seed0_validation_tuning,0.05,10.0,1.5,1.0,100,60,200,True,,Co-author-approved fixed-abs high-dimensional final run; five seeds; 1500 rounds for the stochastic regime; inspect validation convergence at round 200 without using Test MSE for stopping or selection. Validation source: tune_femnist_xz_fedogda_s_seed0_lr0p003_wd0p05. Speedup continuation migration 20260719_123539; old complete artifacts preserved separately; generated only for missing final runs. Second continuation 20260719_233531; generated only for rows incomplete after first continuation.
highdim_abs_femnist_xz_fedogda_s_seed2_alpha0p5,highdim_coauthor_protocol_v1_alpha0p5,real_images_abs_alpha0p5_final,federated,fedogda_s,FedOGDA-S,femnist_xz,2,0.5,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v2_20260719_233531,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v2_20260719_233531/femnist_xz/fedogda_s/seed_2/highdim_abs_femnist_xz_fedogda_s_seed2_alpha0p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,1500,3,256,hetero,0.5,data,0.003,selected_by_seed0_validation_tuning,0.05,10.0,1.5,1.0,100,60,200,True,,Co-author-approved fixed-abs high-dimensional final run; five seeds; 1500 rounds for the stochastic regime; inspect validation convergence at round 200 without using Test MSE for stopping or selection. Validation source: tune_femnist_xz_fedogda_s_seed0_lr0p003_wd0p05. Speedup continuation migration 20260719_123539; old complete artifacts preserved separately; generated only for missing final runs. Second continuation 20260719_233531; generated only for rows incomplete after first continuation.
highdim_abs_femnist_xz_fedogda_s_seed3_alpha0p5,highdim_coauthor_protocol_v1_alpha0p5,real_images_abs_alpha0p5_final,federated,fedogda_s,FedOGDA-S,femnist_xz,3,0.5,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v2_20260719_233531,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v2_20260719_233531/femnist_xz/fedogda_s/seed_3/highdim_abs_femnist_xz_fedogda_s_seed3_alpha0p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,1500,3,256,hetero,0.5,data,0.003,selected_by_seed0_validation_tuning,0.05,10.0,1.5,1.0,100,60,200,True,,Co-author-approved fixed-abs high-dimensional final run; five seeds; 1500 rounds for the stochastic regime; inspect validation convergence at round 200 without using Test MSE for stopping or selection. Validation source: tune_femnist_xz_fedogda_s_seed0_lr0p003_wd0p05. Speedup continuation migration 20260719_123539; old complete artifacts preserved separately; generated only for missing final runs. Second continuation 20260719_233531; generated only for rows incomplete after first continuation.
highdim_abs_femnist_xz_fedogda_s_seed4_alpha0p5,highdim_coauthor_protocol_v1_alpha0p5,real_images_abs_alpha0p5_final,federated,fedogda_s,FedOGDA-S,femnist_xz,4,0.5,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v2_20260719_233531,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v2_20260719_233531/femnist_xz/fedogda_s/seed_4/highdim_abs_femnist_xz_fedogda_s_seed4_alpha0p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,1500,3,256,hetero,0.5,data,0.003,selected_by_seed0_validation_tuning,0.05,10.0,1.5,1.0,100,60,200,True,,Co-author-approved fixed-abs high-dimensional final run; five seeds; 1500 rounds for the stochastic regime; inspect validation convergence at round 200 without using Test MSE for stopping or selection. Validation source: tune_femnist_xz_fedogda_s_seed0_lr0p003_wd0p05. Speedup continuation migration 20260719_123539; old complete artifacts preserved separately; generated only for missing final runs. Second continuation 20260719_233531; generated only for rows incomplete after first continuation.
highdim_abs_femnist_z_fedgda_s_seed0_alpha0p5,highdim_coauthor_protocol_v1_alpha0p5,real_images_abs_alpha0p5_final,federated,fedgda_s,FedGDA-S,femnist_z,0,0.5,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v2_20260719_233531,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v2_20260719_233531/femnist_z/fedgda_s/seed_0/highdim_abs_femnist_z_fedgda_s_seed0_alpha0p5,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,10,1500,3,256,hetero,0.5,data,0.01,selected_by_seed0_validation_tuning,0.05,10.0,1.5,1.0,100,60,200,True,,Co-author-approved fixed-abs high-dimensional final run; five seeds; 1500 rounds for the stochastic regime; inspect validation convergence at round 200 without using Test MSE for stopping or selection. Validation source: tune_femnist_z_fedgda_s_seed0_lr0p01_wd0p05. Speedup continuation migration 20260719_123539; old complete artifacts preserved separately; generated only for missing final runs. Second continuation 20260719_233531; generated only for rows incomplete after first continuation.
highdim_abs_femnist_z_fedgda_s_seed1_alpha0p5,highdim_coauthor_protocol_v1_alpha0p5,real_images_abs_alpha0p5_final,federated,fedgda_s,FedGDA-S,femnist_z,1,0.5,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v2_20260719_233531,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v2_20260719_233531/femnist_z/fedgda_s/seed_1/highdim_abs_femnist_z_fedgda_s_seed1_alpha0p5,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,10,1500,3,256,hetero,0.5,data,0.01,selected_by_seed0_validation_tuning,0.05,10.0,1.5,1.0,100,60,200,True,,Co-author-approved fixed-abs high-dimensional final run; five seeds; 1500 rounds for the stochastic regime; inspect validation convergence at round 200 without using Test MSE for stopping or selection. Validation source: tune_femnist_z_fedgda_s_seed0_lr0p01_wd0p05. Speedup continuation migration 20260719_123539; old complete artifacts preserved separately; generated only for missing final runs. Second continuation 20260719_233531; generated only for rows incomplete after first continuation.
highdim_abs_femnist_z_fedgda_s_seed2_alpha0p5,highdim_coauthor_protocol_v1_alpha0p5,real_images_abs_alpha0p5_final,federated,fedgda_s,FedGDA-S,femnist_z,2,0.5,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v2_20260719_233531,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v2_20260719_233531/femnist_z/fedgda_s/seed_2/highdim_abs_femnist_z_fedgda_s_seed2_alpha0p5,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,10,1500,3,256,hetero,0.5,data,0.01,selected_by_seed0_validation_tuning,0.05,10.0,1.5,1.0,100,60,200,True,,Co-author-approved fixed-abs high-dimensional final run; five seeds; 1500 rounds for the stochastic regime; inspect validation convergence at round 200 without using Test MSE for stopping or selection. Validation source: tune_femnist_z_fedgda_s_seed0_lr0p01_wd0p05. Speedup continuation migration 20260719_123539; old complete artifacts preserved separately; generated only for missing final runs. Second continuation 20260719_233531; generated only for rows incomplete after first continuation.
highdim_abs_femnist_z_fedgda_s_seed3_alpha0p5,highdim_coauthor_protocol_v1_alpha0p5,real_images_abs_alpha0p5_final,federated,fedgda_s,FedGDA-S,femnist_z,3,0.5,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v2_20260719_233531,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v2_20260719_233531/femnist_z/fedgda_s/seed_3/highdim_abs_femnist_z_fedgda_s_seed3_alpha0p5,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,10,1500,3,256,hetero,0.5,data,0.01,selected_by_seed0_validation_tuning,0.05,10.0,1.5,1.0,100,60,200,True,,Co-author-approved fixed-abs high-dimensional final run; five seeds; 1500 rounds for the stochastic regime; inspect validation convergence at round 200 without using Test MSE for stopping or selection. Validation source: tune_femnist_z_fedgda_s_seed0_lr0p01_wd0p05. Speedup continuation migration 20260719_123539; old complete artifacts preserved separately; generated only for missing final runs. Second continuation 20260719_233531; generated only for rows incomplete after first continuation.
highdim_abs_femnist_z_fedgda_s_seed4_alpha0p5,highdim_coauthor_protocol_v1_alpha0p5,real_images_abs_alpha0p5_final,federated,fedgda_s,FedGDA-S,femnist_z,4,0.5,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v2_20260719_233531,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v2_20260719_233531/femnist_z/fedgda_s/seed_4/highdim_abs_femnist_z_fedgda_s_seed4_alpha0p5,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,10,1500,3,256,hetero,0.5,data,0.01,selected_by_seed0_validation_tuning,0.05,10.0,1.5,1.0,100,60,200,True,,Co-author-approved fixed-abs high-dimensional final run; five seeds; 1500 rounds for the stochastic regime; inspect validation convergence at round 200 without using Test MSE for stopping or selection. Validation source: tune_femnist_z_fedgda_s_seed0_lr0p01_wd0p05. Speedup continuation migration 20260719_123539; old complete artifacts preserved separately; generated only for missing final runs. Second continuation 20260719_233531; generated only for rows incomplete after first continuation.
highdim_abs_femnist_z_fedogda_s_seed0_alpha0p5,highdim_coauthor_protocol_v1_alpha0p5,real_images_abs_alpha0p5_final,federated,fedogda_s,FedOGDA-S,femnist_z,0,0.5,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v2_20260719_233531,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v2_20260719_233531/femnist_z/fedogda_s/seed_0/highdim_abs_femnist_z_fedogda_s_seed0_alpha0p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,1500,3,256,hetero,0.5,data,0.01,selected_by_seed0_validation_tuning,0.05,10.0,1.5,1.0,100,60,200,True,,Co-author-approved fixed-abs high-dimensional final run; five seeds; 1500 rounds for the stochastic regime; inspect validation convergence at round 200 without using Test MSE for stopping or selection. Validation source: tune_femnist_z_fedogda_s_seed0_lr0p01_wd0p05. Speedup continuation migration 20260719_123539; old complete artifacts preserved separately; generated only for missing final runs. Second continuation 20260719_233531; generated only for rows incomplete after first continuation.
highdim_abs_femnist_z_fedogda_s_seed1_alpha0p5,highdim_coauthor_protocol_v1_alpha0p5,real_images_abs_alpha0p5_final,federated,fedogda_s,FedOGDA-S,femnist_z,1,0.5,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v2_20260719_233531,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v2_20260719_233531/femnist_z/fedogda_s/seed_1/highdim_abs_femnist_z_fedogda_s_seed1_alpha0p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,1500,3,256,hetero,0.5,data,0.01,selected_by_seed0_validation_tuning,0.05,10.0,1.5,1.0,100,60,200,True,,Co-author-approved fixed-abs high-dimensional final run; five seeds; 1500 rounds for the stochastic regime; inspect validation convergence at round 200 without using Test MSE for stopping or selection. Validation source: tune_femnist_z_fedogda_s_seed0_lr0p01_wd0p05. Speedup continuation migration 20260719_123539; old complete artifacts preserved separately; generated only for missing final runs. Second continuation 20260719_233531; generated only for rows incomplete after first continuation.
